N,P,K,temperature,humidity,ph,rainfall,indice
91.0,21.0,26.0,26.334,57.365,7.261,191.655,0.628
107.0,21.0,26.0,26.453,55.322,7.235,144.686,0.657
83.0,38.0,35.0,25.708,52.887,7.189,136.733,0.568
108.0,24.0,31.0,24.128,56.181,6.432,147.276,0.88
116.0,28.0,34.0,23.444,60.395,6.423,122.21,0.88
116.0,23.0,25.0,23.412,52.27,6.87,139.367,0.669
109.0,31.0,27.0,23.06,50.406,6.974,164.497,0.659
89.0,25.0,34.0,23.079,63.659,7.185,129.877,0.744
118.0,18.0,32.0,27.65,51.11,6.352,122.839,0.726
111.0,32.0,34.0,25.467,69.352,6.392,171.376,0.88
84.0,36.0,28.0,26.735,55.552,6.12,140.631,0.697
85.0,33.0,25.0,26.208,52.51,6.911,189.094,0.537
99.0,15.0,27.0,27.042,57.279,6.501,165.687,0.668
81.0,30.0,31.0,24.651,51.94,7.028,135.139,0.58
95.0,39.0,29.0,27.352,55.994,7.134,148.981,0.602
81.0,34.0,30.0,25.178,62.262,6.648,135.012,0.701
80.0,15.0,28.0,23.114,68.001,6.703,161.894,0.531
104.0,20.0,26.0,27.228,52.953,7.493,175.726,0.602
109.0,29.0,28.0,23.263,60.516,6.725,194.176,0.744
100.0,32.0,26.0,25.235,57.532,6.043,124.226,0.8
100.0,24.0,28.0,25.595,57.729,7.102,195.773,0.673
83.0,21.0,28.0,25.567,60.492,7.467,190.226,0.577
120.0,23.0,28.0,25.673,51.29,6.878,196.274,0.671
104.0,26.0,30.0,24.407,62.657,6.411,148.698,0.88
108.0,33.0,31.0,23.693,66.761,7.394,144.658,0.726
91.0,25.0,26.0,24.535,66.998,7.482,180.506,0.678
86.0,26.0,27.0,27.131,52.894,6.081,192.428,0.645
98.0,18.0,27.0,27.561,68.493,6.516,167.436,0.698
111.0,27.0,31.0,23.593,55.276,6.043,191.398,0.844
84.0,39.0,35.0,23.177,52.139,6.959,117.311,0.597
98.0,27.0,27.0,24.714,51.291,7.238,197.644,0.607
118.0,21.0,34.0,24.385,64.725,7.234,119.632,0.76
103.0,27.0,31.0,27.16,51.591,6.692,126.175,0.749
82.0,24.0,33.0,26.535,67.096,6.81,120.649,0.651
86.0,31.0,35.0,27.012,60.766,6.486,191.451,0.727
88.0,35.0,35.0,27.559,58.457,6.784,117.939,0.702
84.0,27.0,29.0,23.323,53.004,7.167,168.264,0.618
120.0,40.0,33.0,24.239,54.303,6.734,115.156,0.768
106.0,40.0,30.0,23.426,64.107,6.78,122.685,0.763
113.0,21.0,33.0,26.022,55.833,7.277,176.902,0.759
117.0,34.0,25.0,24.838,56.769,7.213,124.414,0.629
80.0,30.0,25.0,26.241,65.644,7.487,148.377,0.472
88.0,21.0,27.0,24.43,66.024,7.231,181.637,0.663
113.0,33.0,34.0,26.004,62.145,6.56,153.478,0.865
87.0,23.0,28.0,26.224,62.266,6.98,193.746,0.624
113.0,15.0,29.0,27.096,63.553,6.779,190.244,0.607
98.0,29.0,30.0,25.64,61.033,6.218,199.474,0.822
97.0,29.0,27.0,27.746,54.37,7.205,139.862,0.59
85.0,35.0,32.0,26.249,54.286,6.854,133.112,0.692
82.0,29.0,35.0,26.674,52.242,6.247,156.154,0.696
103.0,33.0,25.0,27.102,55.75,6.911,139.501,0.619
112.0,17.0,28.0,27.63,61.26,6.777,196.649,0.582
99.0,19.0,33.0,27.536,55.517,6.274,130.638,0.783
120.0,20.0,34.0,23.57,50.563,6.906,130.38,0.747
114.0,27.0,28.0,24.995,57.933,7.163,192.874,0.671
100.0,40.0,35.0,27.564,54.411,6.956,177.816,0.623
108.0,35.0,25.0,23.981,61.109,6.972,161.528,0.652
115.0,31.0,30.0,24.23,67.378,6.841,122.407,0.795
87.0,28.0,30.0,25.602,68.663,6.537,168.838,0.823
82.0,24.0,26.0,24.313,53.573,6.089,184.41,0.647
94.0,26.0,27.0,26.366,52.257,7.456,177.318,0.654
87.0,28.0,35.0,26.56,57.162,6.759,152.062,0.742
118.0,40.0,35.0,26.35,58.507,7.46,121.559,0.651
87.0,38.0,29.0,25.204,57.884,6.653,156.146,0.745
92.0,40.0,30.0,23.357,55.188,6.026,171.698,0.83
97.0,22.0,26.0,23.606,59.688,6.074,185.157,0.785
99.0,40.0,32.0,24.185,69.948,7.046,163.271,0.684
89.0,28.0,33.0,26.444,53.839,6.993,175.372,0.706
112.0,39.0,29.0,26.125,63.375,6.727,147.804,0.759
111.0,28.0,26.0,27.774,64.479,6.937,192.712,0.564
114.0,20.0,26.0,25.557,62.671,7.279,193.587,0.639
117.0,26.0,30.0,27.924,67.969,7.08,115.233,0.66
